nv_set_wol set_wol
nv_nic_irq_tx interrupt
nv_get_settings get_settings
nv_set_sg set_sg
nv_start_xmit ndo_start_xmit
nv_get_wol get_wol
nv_nic_irq_optimized interrupt
nv_close ndo_stop
cleanup_module cleanup_module
nv_get_ethtool_stats get_ethtool_stats
nv_vlan_rx_register ndo_vlan_rx_register
nv_poll_controller ndo_poll_controller
nv_probe probe_pci
nv_get_ringparam get_ringparam
nv_set_rx_csum set_rx_csum
nv_get_regs get_regs
init_module init_module
nv_set_pauseparam set_pauseparam
nv_shutdown shutdown_pci
nv_get_regs_len get_regs_len
nv_start_xmit_optimized ndo_start_xmit
nv_nway_reset nway_reset
nv_get_drvinfo get_drvinfo
nv_resume resume_pci
nv_self_test self_test
nv_set_mac_address ndo_set_mac_address
nv_remove remove_pci
nv_get_pauseparam get_pauseparam
nv_nic_irq_other interrupt
nv_set_ringparam set_ringparam
nv_get_stats ndo_get_stats
nv_tx_timeout ndo_tx_timeout
nv_nic_irq_rx interrupt
nv_set_tso set_tso
nv_get_strings get_strings
eth_validate_addr ndo_validate_addr
nv_nic_irq interrupt
nv_set_multicast ndo_set_multicast_list
ethtool_op_get_link get_link
nv_change_mtu ndo_change_mtu
nv_get_rx_csum get_rx_csum
nv_nic_irq_test interrupt
nv_get_sset_count get_sset_count
nv_set_settings set_settings
nv_set_tx_csum set_tx_csum
nv_open ndo_open
