eth_mac_addr ndo_set_mac_address
rtl8139_get_strings get_strings
cleanup_module cleanup_module
rtl8139_close ndo_stop
rtl8139_set_settings set_settings
rtl8139_open ndo_open
rtl8139_nway_reset nway_reset
rtl8139_get_settings get_settings
rtl8139_get_sset_count get_sset_count
init_module init_module
rtl8139_set_wol set_wol
rtl8139_get_wol get_wol
rtl8139_tx_timeout ndo_tx_timeout
rtl8139_poll_controller ndo_poll_controller
rtl8139_resume resume_pci
rtl8139_get_stats ndo_get_stats
rtl8139_remove_one remove_pci
rtl8139_set_rx_mode ndo_set_multicast_list
rtl8139_get_regs_len get_regs_len
rtl8139_init_one probe_pci
rtl8139_get_drvinfo get_drvinfo
eth_validate_addr ndo_validate_addr
rtl8139_start_xmit ndo_start_xmit
rtl8139_set_msglevel set_msglevel
rtl8139_get_ethtool_stats get_ethtool_stats
rtl8139_get_msglevel get_msglevel
rtl8139_get_regs get_regs
rtl8139_interrupt interrupt
netdev_ioctl ndo_do_ioctl
rtl8139_get_link get_link
