rtl8169_get_strings get_strings
cleanup_module cleanup_module
ethtool_op_set_tso set_tso
rtl8169_get_stats ndo_get_stats
rtl8169_init_one probe_pci
rtl8169_get_rx_csum get_rx_csum
init_module init_module
rtl_set_mac_address ndo_set_mac_address
rtl8169_get_regs_len get_regs_len
rtl8169_netpoll ndo_poll_controller
rtl8169_get_sset_count get_sset_count
rtl8169_ioctl ndo_do_ioctl
rtl8169_tx_timeout ndo_tx_timeout
ethtool_op_set_tx_csum set_tx_csum
rtl8169_get_regs get_regs
rtl8169_set_rx_csum set_rx_csum
rtl8169_remove_one remove_pci
rtl8169_resume resume_pci
rtl8169_set_msglevel set_msglevel
rtl8169_get_wol get_wol
rtl8169_get_msglevel get_msglevel
rtl8169_close ndo_stop
rtl8169_change_mtu ndo_change_mtu
rtl8169_vlan_rx_register ndo_vlan_rx_register
ethtool_op_set_sg set_sg
rtl8169_interrupt interrupt
rtl8169_set_wol set_wol
rtl8169_get_drvinfo get_drvinfo
eth_validate_addr ndo_validate_addr
rtl8169_start_xmit ndo_start_xmit
ethtool_op_get_link get_link
rtl8169_open ndo_open
rtl8169_get_settings get_settings
rtl_set_rx_mode ndo_set_multicast_list
rtl_shutdown shutdown_pci
rtl8169_set_settings set_settings
rtl8169_get_ethtool_stats get_ethtool_stats
